"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","session_info","","text","Session ID","","Auto-generated 8-character alphanumeric session identifier","","","","y","","y","","","","",""
"pathway_mode","session_info","","radio","Assessment Pathway","pre_psa, Pre-PSA Assessment (Should I get a PSA test?) | post_psa, Post-PSA Assessment (I have a PSA result) | post_mri, Post-MRI Assessment (I had a PSA and an MRI) | post_biopsy, Post-Biopsy / Active Surveillance Assessment","","","","","","","y","","","","",""
"age","part1_demographics","Demographics","text","Age (years)","","","integer","18","120","","","y","","","","",""
"race","part1_demographics","","radio","Race / Ethnicity","white, White | black, Black or African American | hispanic, Hispanic or Latino | asian, Asian | other, Other","","","","","","","y","","","","",""
"family_history","part1_family_risk","Family & Genetic Risk","radio","First-degree relative with prostate cancer?","0, No | 1, Yes","","","","","","","y","","","","",""
"inflammation_hx","part1_family_risk","","radio","History of prostate inflammation or prostatitis?","0, No | 1, Yes","","","","","","","y","","","","",""
"brca_status","part1_family_risk","","radio","BRCA1/2 mutation status","yes, Positive | no, Negative | unknown, Unknown","","","","","","","y","","","","",""
"height_unit","part1_body_metrics","Body Metrics","radio","Height unit","imperial, Imperial (ft/in) | metric, Metric (cm)","","","","","","","y","","","","",""
"height_ft","part1_body_metrics","","text","Height — feet","","","integer","4","7","","[height_unit] = 'imperial'","","","","","",""
"height_in","part1_body_metrics","","text","Height — inches","","0–11","integer","0","11","","[height_unit] = 'imperial'","","","","","",""
"height_cm","part1_body_metrics","","text","Height (cm)","","","integer","100","250","","[height_unit] = 'metric'","","","","","",""
"weight_unit","part1_body_metrics","","radio","Weight unit","lbs, Pounds (lbs) | kg, Kilograms (kg)","","","","","","","y","","","","",""
"weight_lbs","part1_body_metrics","","text","Weight (lbs)","","","number","50","700","","[weight_unit] = 'lbs'","","","","","",""
"weight_kg","part1_body_metrics","","text","Weight (kg)","","","number","20","320","","[weight_unit] = 'kg'","","","","","",""
"bmi","part1_body_metrics","","calc","BMI (calculated)","","Auto-calculated from height and weight","","","","","","","","","","",""
