"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","patient_info","","text","Record ID","","Auto-generated on submission","","","","y","","y","","","","",""
"age","patient_info","","text","Age (years)","","","integer","18","120","","","y","","","","",""
"race","patient_info","","radio","Race","white, White | black, Black or African American | hispanic, Hispanic or Latino | asian, Asian | mixed, Mixed | other, Other","","","","","","","y","","","","",""
"family_history","clinical_inputs","Family & Genetic Risk","radio","Family history of prostate cancer (number of first-degree relatives)","0, None | 1, One | 2, Two or more | unknown, Unknown","AUA 2023: risk increases with number of affected first-degree relatives","","","","","","y","","","","",""
"genetic_risk","clinical_inputs","","radio","BRCA1/2 mutation status","yes, Positive | no, Negative | unknown, Unknown / Never tested","BRCA2 associated with ~5–8× increased PCa risk (Mersch et al. 2015)","","","","","","y","","","","",""
"bmi","clinical_inputs","Body","text","BMI (kg/m²)","","Calculated from height and weight entered in app","number","15","60","","","y","","","","",""
"exercise","clinical_inputs","Lifestyle","radio","Exercise frequency","0, Regular — 3 or more times per week | 1, Some — 1 to 2 times per week | 2, None","AUA/NCCN lifestyle risk factor","","","","","","y","","","","",""
"smoking","clinical_inputs","","radio","Smoking history","0, Never | 1, Former | 2, Current","OR ~1.4× for PCa mortality (Huncharek et al. 2010)","","","","","","y","","","","",""
"chemical_exposure","clinical_inputs","","radio","Chemical or occupational exposure","no, No | yes, Yes | unknown, Unknown","Agent Orange, 9/11 WTC, or other significant occupational exposure","","","","","","y","","","","",""
"diet_pattern","clinical_inputs","","radio","Dietary pattern","western, Western | mediterranean, Mediterranean | indian, Indian | dash, DASH | plant-based, Plant-based | pescatarian, Pescatarian | low-carb-keto, Low-carb / Keto | other, Other","","","","","","","y","","","","",""
"comorbidities","clinical_inputs","","radio","Number of major cardiometabolic comorbidities","0, None | 1, One | 2, Two or more","Hypertension, hyperlipidemia, coronary artery disease, or diabetes. OR ~1.3–1.5× for high-grade PCa (Esposito et al. 2013)","","","","","","y","","","","",""
"ipss_qol","symptom_scores","IPSS — Urinary Symptoms","radio","IPSS Q8 — Quality of life: If your urinary condition stayed the same for the rest of your life, how would you feel?","0, Delighted | 1, Pleased | 2, Mostly satisfied | 3, Mixed | 4, Mostly dissatisfied | 5, Unhappy | 6, Terrible","Validated IPSS quality-of-life item (AUA/WHO). Not included in IPSS symptom total (0–35).","","","","","","y","","8","","",""
"erection_confidence","symptom_scores","SHIM — Erectile Function","radio","SHIM Q1 — How do you rate your confidence that you could get and keep an erection?","1, Very low | 2, Low | 3, Moderate | 4, High | 5, Very high","SHIM/IIEF-5 Q1. Scale 1–5. Validated sexual health screening item (Rosen et al. 1999).","","","","","","y","","1","","",""
